iter	Passed	Remaining
0	3	329
1	6	335
2	10	335
3	13	326
4	16	318
5	23	373
6	30	410
7	34	393
8	37	380
9	40	368
10	44	358
11	47	351
12	54	365
13	68	419
14	76	435
15	81	429
16	92	450
17	95	437
18	102	435
19	105	423
20	109	411
21	112	398
22	117	392
23	127	403
24	131	394
25	134	382
26	137	371
27	140	362
28	144	352
29	147	344
30	152	338
31	156	332
32	159	324
33	163	316
34	166	309
35	171	304
36	174	297
37	179	292
38	183	287
39	192	289
40	196	282
41	199	275
42	203	269
43	207	263
44	210	257
45	214	251
46	224	253
47	228	247
48	231	241
49	234	234
50	238	229
51	241	223
52	245	217
53	248	211
54	251	206
55	254	200
56	258	194
57	261	189
58	264	183
59	268	179
60	272	174
61	276	169
62	281	165
63	292	164
64	297	160
65	301	155
66	304	149
67	307	144
68	311	139
69	319	137
70	324	132
71	326	127
72	330	122
73	333	117
74	336	112
75	340	107
76	344	102
77	347	97
78	350	93
79	355	88
80	359	84
81	362	79
82	365	74
83	368	70
84	371	65
85	374	60
86	383	57
87	387	52
88	391	48
89	394	43
90	398	39
91	401	34
92	404	30
93	408	26
94	417	21
95	420	17
96	424	13
97	427	8
98	430	4
99	433	0
